Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Famers' access to credit: Does collateral matter or cash flow matter?Evidence from Sindh, Pakistan","Chandio, Abbas Ali; Jiang, Yuansheng; Wei, Feng; Rehman, Abdul; Liu, Dan",,,,COGENT ECONOMICS & FINANCE,SEP 1 2017,2017,5,1,,,,,,1369383,10.1080/23322039.2017.1369383,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
Inter-sectoral Differences in the SME Financing Gap: Evidence from Selected Sectors in Ghana,"Domeher, Daniel; Musah, Godwin; Hassan, Najib",,,,JOURNAL OF AFRICAN BUSINESS,2017,2017,18,2,,,,194,220,,10.1080/15228916.2017.1265056,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2
"Borrowed Time: Sovereign Finance, Regime Type, and Leader Survival","DiGiuseppe, Matthew; Shea, Patrick E.",,,,ECONOMICS & POLITICS,NOV 2016,2016,28,3,,,,342,367,,10.1111/ecpo.12081,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1
"Political institutions, entrenchments, and the sustainability of economic development - A lesson from rural finance","Qian, Meijun; Huang, Yasheng",,,,CHINA ECONOMIC REVIEW,SEP 2016,2016,40,,,,,152,178,,10.1016/j.chieco.2016.06.005,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0
Impacts of Owner Race and Geographic Context on Access to Small-Business Financing,"Bates, Timothy; Robb, Alicia",,,,ECONOMIC DEVELOPMENT QUARTERLY,MAY 2016,2016,30,2,,,SI,159,170,,10.1177/0891242415620484,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0
Access to financial services: The case of the 'Mzansi' account in South Africa,"Kostov, Philip; Arun, Thankom; Annim, Samuel",,,,REVIEW OF DEVELOPMENT FINANCE,JUN 2015,2015,5,1,,,,34,42,,10.1016/j.rdf.2014.04.001,,,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0
Gender differences in financial inclusion amongst entrepreneurs in Zimbabwe,"Kairiza, Terrence; Kiprono, Philemon; Magadzire, Vengesai",,,,SMALL BUSINESS ECONOMICS,JAN 2017,2017,48,1,,,,259,272,,10.1007/s11187-016-9773-2,,,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0
Strengthening access to finance for women-owned SMEs in developing countries,"Ahmad, Syed Zamberi; Arif, Afida Mastura Muhammad",,,,EQUALITY DIVERSITY AND INCLUSION,2015,2015,34,7,,,,634,639,,10.1108/EDI-11-2012-0104,,,8,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
Barking up the Wrong Tree? Measuring Gender Gaps in Firm's Access to Finance,"Presbitero, Andrea F.; Rabellotti, Roberta; Piras, Claudia",,,,JOURNAL OF DEVELOPMENT STUDIES,OCT 3 2014,2014,50,10,,,,1430,1444,,10.1080/00220388.2014.940914,,,8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1
Using stated preference methods to design cost-effective subsidy programs to induce technology adoption: An application to a stove program in southern Chile,"Gomez, Walter; Salgado, Hugo; Vasquez, Felipe; Chavez, Carlos",,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,JAN 2014,2014,132,,,,,346,357,,10.1016/j.jenvman.2013.11.020,,,8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
"Determinants of Household Access to Formal Credit in the Rural Areas of the Mekong Delta, Vietnam","Vuong Quoc Duy; D'Haese, Marijke; Lemba, Jacinta; Hau, Le Long; D'Haese, Luc",,,,AFRICAN AND ASIAN STUDIES,2012,2012,11,3,,,,261,287,,10.1163/15692108-12341234,,,8,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,0
Credit rationing in rural credit markets of India,"Chaudhuri, Kausik; Cherical, Mary M.",,,,APPLIED ECONOMICS,2012,2012,44,7,,,,803,812,,10.1080/00036846.2010.524627,,,8,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
Intrametropolitan patterns of small-business lending - What do the new Community Reinvestment Act data reveal?,"Immergluck, D",,,,URBAN AFFAIRS REVIEW,JUL 1999,1999,34,6,,,,787,804,,10.1177/10780879922184202,,,8,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Microfinance Intervention in Poverty Reduction: A Study of Women Farmer-Entrepreneurs in Rural Ghana,"Nukpezah, Julius A.; Blankson, Charles",,,,JOURNAL OF AFRICAN BUSINESS,2017,2017,18,4,,,,457,475,,10.1080/15228916.2017.1336915,,,7,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
Informality and credit constraints: evidence from Sub-Saharan African MSEs,"Wellalage, Nirosha Hewa; Locke, Stuart",,,,APPLIED ECONOMICS,JUN 2016,2016,48,29,,,,2756,2770,,10.1080/00036846.2015.1128081,,,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
UNCOVER SMES FINANCE THROUGH THE IMPACT OF THE SPECIFIC FACTORS. EVIDENCE FROM SLOVAKIA,"Kljucnikov, Aleksandr",,,,TRANSFORMATIONS IN BUSINESS & ECONOMICS,2016,2016,15,2B,,,,741,754,,,,,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0
Toward a theory of financial bricolage: the impact of small loans on new businesses,"Kariv, Dafna; Coleman, Susan",,,,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,2015,2015,22,2,,,,196,+,,10.1108/JSBED-02-2013-0020,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0
"The financing of small firms in Beijing, China: exploring the extent of credit constraints","Wang, Jia; Robson, Paul; Freel, Mark",,,,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,2015,2015,22,3,,,,397,+,,10.1108/JSBED-01-2014-0008,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0
"The demand for credit, credit rationing and the role of microfinance Evidence from poor rural counties of China","Cheng, Enjiang; Ahmed, Abdullahi D.",,,,CHINA AGRICULTURAL ECONOMIC REVIEW,2014,2014,6,2,,,,295,315,,10.1108/CAER-07-2012-0076,,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0
The effect of the political connections of government bank CEOs on bank performance during the financial crisis,"Chen, Hung-Kun; Liao, Yin-Chi; Lin, Chih-Yung; Yen, Ju-Fang",,,,JOURNAL OF FINANCIAL STABILITY,JUN 2018,2018,36,,,,,130,143,,10.1016/j.jfs.2018.02.010,,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
Access to credit by SMEs in South Asia: do women entrepreneurs face discrimination,"Wellalage, Nirosha; Locke, Stuart",,,,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,OCT 2017,2017,41,,,,,336,346,,10.1016/j.ribaf.2017.04.053,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
Rural banking in China: geographically accessible but still financially excluded?,"Yeung, Godfrey; He, Canfei; Zhang, Peng",,,,REGIONAL STUDIES,FEB 2017,2017,51,2,,,SI,297,312,,10.1080/00343404.2015.1100283,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
Is gender an impediment to firm performance? Evidence from small firms in Mauritius,"Tandrayen-Ragoobur, Verena; Kasseeah, Harshana",,,,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,2017,2017,23,6,,,SI,952,976,,10.1108/IJEBR-11-2016-0385,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Connectedness and SME Financing in Post-Communist Economies: Evidence from Uzbekistan,"Ruziev, Kobil; Midmore, Peter",,,,JOURNAL OF DEVELOPMENT STUDIES,MAY 4 2015,2015,51,5,,,,586,602,,10.1080/00220388.2014.989991,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0
"Race, Ethnicity, and Credit Card Marketing","Firestone, Simon",,,,JOURNAL OF MONEY CREDIT AND BANKING,SEP 2014,2014,46,6,,,,1205,1224,,10.1111/jmcb.12138,,,6,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0
"State ownership, bank loans, and corporate investment","Jiang, Wei; Zeng, Yeqin",,,,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,JUL 2014,2014,32,,,,SI,92,116,,10.1016/j.iref.2014.01.009,,,6,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
Gender Bias Claims in Farm Service Agency's Lending Decisions,"Escalante, Cesar L.; Epperson, James E.; Raghunathan, Uthra",,,,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,AUG 2009,2009,34,2,,,,332,349,,,,,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2
Determinants of agricultural credit demand and supply among small-scale farmers in Nigeria,"Oluwasola, O.; Alimi, T.",,,,OUTLOOK ON AGRICULTURE,SEP 2008,2008,37,3,,,,185,193,,10.5367/000000008785915421,,,6,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0
The demand and supply of credit for households,"Swain, Ranjula Bali",,,,APPLIED ECONOMICS,2007,2007,39,21,,,,2681,2692,,10.1080/00036840600749516,,,6,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0
"Access to Rural Credit Markets in Developing Countries, the Case of Vietnam: A Literature Review","Ta Nhat Linh; Hoang Thanh Long; Le Van Chi; Le Thanh Tam; Lebailly, Philippe",,,,SUSTAINABILITY,MAR 1 2019,2019,11,5,,,,,,1468,10.3390/su11051468,,,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Impact of agricultural credit on farm income under the Savanna and Transitional zones of Ghana,"Abdallah, Abdul-Hanan; Ayamga, Micheal; Awuni, Joseph A.",,,,AGRICULTURAL FINANCE REVIEW,FEB 4 2019,2019,79,1,,,,60,84,,10.1108/AFR-02-2018-0009,,,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Financial inclusion and poverty: The role of relative income,"Li, Linying",,,,CHINA ECONOMIC REVIEW,DEC 2018,2018,52,,,,,165,191,,10.1016/j.chieco.2018.07.006,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
Are Women CEOs Valuable in Terms of Bank Loan Costs? Evidence from China,"Luo, Jin-hui; Huang, Zeyue; Li, Xue; Lin, Xiaojing",,,,JOURNAL OF BUSINESS ETHICS,DEC 2018,2018,153,2,,,,337,355,,10.1007/s10551-016-3369-2,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
Appearing self-confident and getting credit for it: Why it may be easier for men than women to gain influence at work,"Guillen, Laura; Mayo, Margarita; Karelaia, Natalia",,,,HUMAN RESOURCE MANAGEMENT,JUL-AUG 2018,2018,57,4,,,SI,839,854,,10.1002/hrm.21857,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
Analysing credit risk in large local governments: an empirical study in Spain,"Lara-Rubio, Juan; Rayo-Canton, Salvador; Navarro-Galera, Andres; Buendia-Carrillo, Dionisio",,,,LOCAL GOVERNMENT STUDIES,APR 2017,2017,43,2,,,,194,217,,10.1080/03003930.2016.1261700,,,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
Addressing Poverty and Gender Inequality through Access to Formal Credit and Enhanced Enterprise Performance in Nigeria: An Empirical Investigation,"Nwosu, Emmanuel O.; Orji, Anthony",,,,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,FEB 2017,2017,29,,,1,SI,56,72,,10.1111/1467-8268.12233,,,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
Ownership structure and access to finance in developing countries,"Mertzanis, Charilaos",,,,APPLIED ECONOMICS,2017,2017,49,32,,,,3195,3213,,10.1080/00036846.2016.1257106,,,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Unequal Hard Times: The Influence of the Great Recession on Gender Bias in Entrepreneurial Financing,"Thebaud, Sarah; Sharkey, Amanda J.",,,,SOCIOLOGICAL SCIENCE,JAN 6 2016,2016,3,,,,,,,,10.15195/v3.a1,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
Credit constraints and their impact on farm household welfare Evidence from Vietnam's North Central Coast region,"Minh Chau Tran; Gan, Christopher; Hu, Baiding",,,,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,2016,2016,43,8,,,,782,803,,10.1108/IJSE-11-2014-0243,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
Analysis of the determinants of financial inclusion in Central and West Africa,"Soumare, Issouf; Tchana, Fulbert Tchana; Kengne, Thierry Martial",,,,TRANSNATIONAL CORPORATIONS REVIEW,2016,2016,8,4,,,,231,249,,10.1080/19186444.2016.1265763,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gender Differences in Bank Loan Access: An Empirical Analysis,"Calcagnini, Giorgio; Giombini, Germana; Lenti, Elisa",,,,ITALIAN ECONOMIC JOURNAL,JUL 2015,2015,1,2,,,,193,217,,10.1007/s40797-014-0004-1,,,5,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
Bank loan contracting and corporate diversification: Does organizational structure matter to lenders?,"Aivazian, Varouj A.; Qiu, Jiaping; Rahaman, Mohammad M.",,,,JOURNAL OF FINANCIAL INTERMEDIATION,APR 2015,2015,24,2,,,,252,282,,10.1016/j.jfi.2015.02.002,,,5,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
WOMEN AND CREDIT IN PERU DURING THE GUANO ERA. WAS THERE GENDER DISCRIMINATION IN THE MORTGAGE CREDIT MARKET OF PERU?*,"Felipe Zegarra, Luis",,,,REVISTA DE HISTORIA ECONOMICA,MAR 2014,2014,32,1,,,,151,185,,10.1017/S0212610914000020,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0
Assessing Nigerian female entrepreneur's access to finance for business start-up and growth,"Adesua-Lincoln, Adebimpe",,,,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,JUL 4 2011,2011,5,13,,,,5348,5355,,,,,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0
How Mobile Money Can Drive Financial Inclusion for Women at the Bottom of the Pyramid (BOP) in Indian Urban Centers,"Chavan, Apala Lahiri; Arora, Sarit; Kumar, Anand; Koppula, Praneet",,,,"INTERNATIONALIZATION, DESIGN AND GLOBAL DEVELOPMENT, PROCEEDINGS",2009,2009,5623,,,,,475,484,,,"3rd International Conference on Internationalization, Design and Global Development held at the 13th International Conference on Human Computer Interaction","JUL 19-24, 2009",5,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0
Determinants of SME Finance: Evidence from Three Central European Countries,"Rahman, Ashiqur; Rahman, M. Twyeafur; Belas, Jaroslav",,,,REVIEW OF ECONOMIC PERSPECTIVES,SEP 2017,2017,17,3,,,,263,285,,10.1515/revecp-2017-0014,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"Lobbying, political connections and emergency lending by the Federal Reserve","Blau, Benjamin M.",,,,PUBLIC CHOICE,SEP 2017,2017,172,3-4,,,,333,358,,10.1007/s11127-017-0446-8,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Family ties and access to finance in an Islamic environment,"Mertzanis, Charilaos",,,,JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS & MONEY,MAY 2017,2017,48,,,,,1,24,,10.1016/j.intfin.2016.12.001,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Financial self-efficacy: a determinant of financial inclusion,"Mindra, Rachel; Moya, Musa; Zuze, Linda Tia; Kodongo, Odongo",,,,INTERNATIONAL JOURNAL OF BANK MARKETING,2017,2017,35,3,,,,338,353,,10.1108/IJBM-05-2016-0065,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
DOES MICROFINANCE ENHANCE GENDER EQUITY IN ACCESS TO FINANCE? EVIDENCE FROM PAKISTAN,"Zulfiqar, Ghazal",,,,FEMINIST ECONOMICS,JAN 2017,2017,23,1,,,,160,185,,10.1080/13545701.2016.1193213,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
The Determinants of Firm Access to Credit in Latin America: Micro Characteristics and Market Structure,"Presbitero, Andrea F.; Rabellotti, Roberta",,,,ECONOMIC NOTES,NOV 2016,2016,45,3,,,SI,445,472,,10.1111/ecno.12069,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Determinants of Saving-Borrowing Decisions and Financial Inclusion in a High Middle Income Country: The Turkish Case,"Davutyan, Nurhan; Ozturkkal, Belma",,,,EMERGING MARKETS FINANCE AND TRADE,2016,2016,52,11,,,,2512,2529,,10.1080/1540496X.2016.1187596,SSEM Conference,2015,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Social Capital and Access to Credit: Evidence from Uganda,"Heikkila, Anni; Kalmi, Panu; Ruuskanen, Olli-Pekka",,,,JOURNAL OF DEVELOPMENT STUDIES,2016,2016,52,9,,,,1273,1288,,10.1080/00220388.2016.1139695,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
Entrepreneurship development and financial literacy in Africa,"Abubakar, Habib Auwal",,,,WORLD JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND SUSTAINABLE DEVELOPMENT,2015,2015,11,4,,,,281,294,,10.1108/WJEMSD-04-2015-0020,,,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Household Economic Well-being: Response to Micro-Credit Access in Cameroon,"Baye, Francis Menjo",,,,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,DEC 2013,2013,25,4,,,,447,467,,10.1111/1467-8268.12041,,,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
ARE WOMEN MORE LIKELY TO BE CREDIT CONSTRAINED? EVIDENCE FROM LOW-INCOME URBAN HOUSEHOLDS IN THE PHILIPPINES,"Malapit, Hazel Jean L.",,,,FEMINIST ECONOMICS,2012,2012,18,3,,,,81,108,,10.1080/13545701.2012.716161,,,4,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Credit market access in Uganda: Evidence from household survey data 1999/2000,"Okurut, F. N.; Schoombee, A.",,,,SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,SEP 2007,2007,10,3,,,,371,383,,,,,4,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
"Interlocking directorates, access to credit, and business performance in Chile during early industrialization","Braun, Matias; Briones, Ignacio; Islas, Gonzalo",,,,JOURNAL OF BUSINESS RESEARCH,DEC 2019,2019,105,,,,,381,388,,10.1016/j.jbusres.2017.12.052,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Determinants of perceived bank financing accessibility for SMEs: evidence from an emerging market,"Erdogan, Aysa Ipek",,,,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,APR 16 2019,2019,32,1,,,,690,716,,10.1080/1331677X.2019.1578678,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Modelling the impact of market imperfections on farm household investment in stand-alone solar PV systems,"Abdul-Salam, Yakubu; Phimister, Euan",,,,WORLD DEVELOPMENT,APR 2019,2019,116,,,,,66,76,,10.1016/j.worlddev.2018.12.007,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Does credit access lead to expansion of income and multidimensional poverty? A study of rural Assam,"Das, Tiken",,,,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,FEB 11 2019,2019,46,2,,,,252,270,,10.1108/IJSE-12-2017-0592,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Financial Infrastructure and Access to Finance for European SMEs,"Andries, Alin Marius; Marcu, Nicu; Oprea, Florin; Tofan, Mihaela",,,,SUSTAINABILITY,OCT 2018,2018,10,10,,,,,,3400,10.3390/su10103400,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Gender differences in formal credit approaches: rural households in Vietnam,"Thi Kieu Van Tran; Elahi, Ehsan; Zhang, Liqin; Abid, Muhammad; Quang Trung Pham; Thuy Duong Tran",,,,ASIAN-PACIFIC ECONOMIC LITERATURE,MAY 2018,2018,32,1,,,,131,138,,10.1111/apel.12220,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Determinants of mortgage arrears in Europe: evidence from household microdata,"Gerlach-Kristen, Petra; Lyons, Sean",,,,INTERNATIONAL JOURNAL OF HOUSING POLICY,2018,2018,18,4,,,,545,567,,10.1080/19491247.2017.1357398,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Is knowledge that powerful? Financial literacy and access to finance: An analysis of enterprises in the UK,"Hussain, Javed; Salia, Samuel; Karim, Amin",,,,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,2018,2018,25,6,,,,985,1003,,10.1108/JSBED-01-2018-0021,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Does ownership matter in access to bank credit in China?,"Gou, Qin; Huang, Yiping; Xu, Jianguo",,,,EUROPEAN JOURNAL OF FINANCE,2018,2018,24,16,,,SI,1409,1427,,10.1080/1351847X.2016.1190391,4th Conference on the Chinese Capital Markets,"MAY 24-26, 2014",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Access to Preferential Loans for Poverty Reduction and Rural Development: Evidence from Vietnam,"Lan Thanh Nguyen; Anh Pham Hoai Nguyen; van Passel, Steven; Azadi, Hossein; Lebailly, Philippe",,,,JOURNAL OF ECONOMIC ISSUES,2018,2018,52,1,,,,246,269,,10.1080/00213624.2018.1430953,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
